Strike	Nominal	Expiry	Mat
0.0044065	 3.8416	 0.5	 1.0
0.0044065	 4.7780	 1.0	 1.5
0.0044065	 2.3661	 1.0	 2.0
0.0044065	 2.3423	 1.5	 2.0
0.0044065	 4.6396	 1.5	 2.5
0.0044065	 0.5971	 1.5	 3.0
0.0044065	 3.9745	 2.0	 3.0
0.0044065	 3.0687	 2.0	 3.5
0.0044065	 1.4357	 2.5	 3.5
0.0044065	 4.4380	 2.5	 4.0
0.0044065	 0.6677	 2.5	 4.5
0.0044065	 3.7047	 3.0	 4.5
0.0044065	 2.3667	 3.0	 5.0
0.0044065	 1.9408	 3.5	 5.0
0.0044065	 3.6907	 3.5	 5.5
0.0044065	 0.5528	 4.0	 5.5
0.0044065	 4.1801	 4.0	 6.0
0.0044065	 0.4870	 4.0	 6.5
0.0044065	 3.6306	 4.5	 6.5
0.0044065	 1.2042	 4.5	 7.0
0.0044065	 2.8515	 5.0	 7.0
0.0044065	 1.6231	 5.0	 7.5
0.0044065	 2.3715	 5.5	 7.5
0.0044065	 1.7664	 5.5	 8.0
0.0044065	 2.1679	 6.0	 8.0
0.0044065	 1.6553	 6.0	 8.5
0.0044065	 2.2194	 6.5	 8.5
0.0044065	 1.3098	 6.5	 9.0
0.0044065	 2.5059	 7.0	 9.0
0.0044065	 0.7487	 7.0	 9.5
0.0044065	 2.9982	 7.5	 9.5
0.0044065	 0.0107	 8.0	 9.5
0.0044065	 2.7482	 8.0	 10.0
0.0044065	 0.9518	 8.5	 10.0
0.0044065	 1.5839	 8.5	 10.5
0.0044065	 2.0592	 9.0	 10.5
0.0044065	 0.2683	 9.0	 11.0
0.0044065	 2.1335	 9.5	 11.0
0.0044065	 1.1852	 10.0	 11.0
0.0044065	 0.7675	 10.0	 11.5
0.0044065	 1.7844	 10.5	 11.5
0.0044065	 0.9795	 11.0	 11.5
0.0044065	 0.6482	 11.0	 12.0
0.0044065	 1.4820	 11.5	 12.0
