Strike	Nominal	Expiry	Mat
0.0033345	 4.8927	 0.5	 1.0
0.0033345	 3.7464	 0.5	 1.5
0.0033345	 1.0710	 1.0	 1.5
0.0033345	 4.7430	 1.0	 2.0
0.0033345	 4.6695	 1.0	 2.5
0.0033345	 1.4139	 1.0	 3.0
0.0033345	 3.1830	 1.5	 3.0
0.0033345	 4.5252	 1.5	 3.5
0.0033345	 2.6834	 1.5	 4.0
0.0033345	 1.7711	 2.0	 4.0
0.0033345	 4.3845	 2.0	 4.5
0.0033345	 2.9114	 2.0	 5.0
0.0033345	 1.4041	 2.5	 5.0
0.0033345	 4.2473	 2.5	 5.5
0.0033345	 2.2512	 2.5	 6.0
0.0033345	 1.9288	 3.0	 6.0
0.0033345	 4.1135	 3.0	 6.5
0.0033345	 0.8374	 3.0	 7.0
0.0033345	 3.2104	 3.5	 7.0
0.0033345	 2.7711	 3.5	 7.5
0.0033345	 1.2119	 4.0	 7.5
0.0033345	 3.9190	 4.0	 8.0
0.0033345	 0.0628	 4.0	 8.5
0.0033345	 3.7929	 4.5	 8.5
0.0033345	 0.7101	 4.5	 9.0
0.0033345	 3.0833	 5.0	 9.0
0.0033345	 0.8147	 5.0	 9.5
0.0033345	 2.9170	 5.5	 9.5
0.0033345	 0.4514	 5.5	 10.0
0.0033345	 2.9054	 6.0	 10.0
0.0033345	 0.3139	 6.5	 10.0
0.0033345	 2.1870	 6.5	 10.5
0.0033345	 1.4237	 7.0	 10.5
0.0033345	 0.7243	 7.0	 11.0
0.0033345	 1.8403	 7.5	 11.0
0.0033345	 0.9867	 8.0	 11.0
0.0033345	 0.5856	 8.0	 11.5
0.0033345	 1.3394	 8.5	 11.5
0.0033345	 1.1370	 9.0	 11.5
0.0033345	 0.4307	 9.5	 11.5
0.0033345	 0.5309	 9.5	 12.0
0.0033345	 0.8096	 10.0	 12.0
0.0033345	 0.6783	 10.5	 12.0
0.0033345	 0.5650	 11.0	 12.0
0.0033345	 0.4674	 11.5	 12.0
