Strike	Nominal	Expiry	Mat
-0.00459	 1.8956	 0.5	 1.0
-0.00459	 3.5116	 1.0	 1.5
-0.00459	 4.8640	 1.5	 2.0
-0.00459	 5.6364	 2.0	 2.5
-0.00459	 0.3319	 2.0	 3.0
-0.00459	 5.1773	 2.5	 3.0
-0.00459	 1.3299	 2.5	 3.5
-0.00459	 4.0543	 3.0	 3.5
-0.00459	 2.1059	 3.0	 4.0
-0.00459	 3.1556	 3.5	 4.0
-0.00459	 2.6734	 3.5	 4.5
-0.00459	 2.4676	 4.0	 4.5
-0.00459	 3.0451	 4.0	 5.0
-0.00459	 1.9776	 4.5	 5.0
-0.00459	 3.2332	 4.5	 5.5
-0.00459	 1.6734	 5.0	 5.5
-0.00459	 3.2493	 5.0	 6.0
-0.00459	 1.5433	 5.5	 6.0
-0.00459	 3.1044	 5.5	 6.5
-0.00459	 1.5763	 6.0	 6.5
-0.00459	 2.8091	 6.0	 7.0
-0.00459	 1.7617	 6.5	 7.0
-0.00459	 2.3734	 6.5	 7.5
-0.00459	 2.0895	 7.0	 7.5
-0.00459	 1.8070	 7.0	 8.0
-0.00459	 2.5501	 7.5	 8.0
-0.00459	 1.1189	 7.5	 8.5
-0.00459	 3.1342	 8.0	 8.5
-0.00459	 0.3179	 8.0	 9.0
-0.00459	 3.2455	 8.5	 9.0
-0.00459	 2.4607	 9.0	 9.5
-0.00459	 1.2706	 9.5	 10.0
