Strike	Nominal	Expiry	Mat
-0.004240000000000001	 0.9563	 0.5	 1.0
-0.004240000000000001	 1.7981	 1.0	 1.5
-0.004240000000000001	 2.5304	 1.5	 2.0
-0.004240000000000001	 3.1583	 2.0	 2.5
-0.004240000000000001	 3.6863	 2.5	 3.0
-0.004240000000000001	 4.1192	 3.0	 3.5
-0.004240000000000001	 4.4613	 3.5	 4.0
-0.004240000000000001	 4.4663	 4.0	 4.5
-0.004240000000000001	 0.2504	 4.0	 5.0
-0.004240000000000001	 4.1164	 4.5	 5.0
-0.004240000000000001	 0.5230	 4.5	 5.5
-0.004240000000000001	 3.7461	 5.0	 5.5
-0.004240000000000001	 0.7154	 5.0	 6.0
-0.004240000000000001	 3.4577	 5.5	 6.0
-0.004240000000000001	 0.8315	 5.5	 6.5
-0.004240000000000001	 3.2474	 6.0	 6.5
-0.004240000000000001	 0.8749	 6.0	 7.0
-0.004240000000000001	 3.1114	 6.5	 7.0
-0.004240000000000001	 0.8494	 6.5	 7.5
-0.004240000000000001	 3.0460	 7.0	 7.5
-0.004240000000000001	 0.7584	 7.0	 8.0
-0.004240000000000001	 3.0478	 7.5	 8.0
-0.004240000000000001	 0.6052	 7.5	 8.5
-0.004240000000000001	 3.1133	 8.0	 8.5
-0.004240000000000001	 0.3931	 8.0	 9.0
-0.004240000000000001	 3.2393	 8.5	 9.0
-0.004240000000000001	 0.1252	 8.5	 9.5
-0.004240000000000001	 3.2272	 9.0	 9.5
-0.004240000000000001	 2.8988	 9.5	 10.0
-0.004240000000000001	 2.3998	 10.0	 10.5
-0.004240000000000001	 1.8578	 10.5	 11.0
-0.004240000000000001	 1.2756	 11.0	 11.5
-0.004240000000000001	 0.6555	 11.5	 12.0
