Strike	Nominal	Expiry	Mat
0.01	 0.9795	 0.5	 1.0
0.01	 1.8890	 1.0	 1.5
0.01	 2.7303	 1.5	 2.0
0.01	 2.9051	 2.0	 2.5
0.01	 0.6002	 2.0	 3.0
0.01	 2.2757	 2.5	 3.0
0.01	 1.3399	 2.5	 3.5
0.01	 1.5070	 3.0	 3.5
0.01	 2.0167	 3.0	 4.0
0.01	 0.8015	 3.5	 4.0
0.01	 2.6323	 3.5	 4.5
0.01	 0.1576	 4.0	 4.5
0.01	 2.7617	 4.0	 5.0
0.01	 0.4266	 4.0	 5.5
0.01	 2.3073	 4.5	 5.5
0.01	 0.9526	 4.5	 6.0
0.01	 1.7538	 5.0	 6.0
0.01	 1.4221	 5.0	 6.5
0.01	 1.2570	 5.5	 6.5
0.01	 1.8367	 5.5	 7.0
0.01	 0.8154	 6.0	 7.0
0.01	 2.1980	 6.0	 7.5
0.01	 0.4274	 6.5	 7.5
0.01	 2.5075	 6.5	 8.0
0.01	 0.0914	 7.0	 8.0
0.01	 2.5727	 7.0	 8.5
0.01	 0.1939	 7.0	 9.0
0.01	 2.3529	 7.5	 9.0
0.01	 0.4301	 7.5	 9.5
0.01	 2.0910	 8.0	 9.5
0.01	 0.6187	 8.0	 10.0
0.01	 1.8771	 8.5	 10.0
0.01	 0.7609	 8.5	 10.5
0.01	 1.7097	 9.0	 10.5
0.01	 0.8581	 9.0	 11.0
0.01	 1.5876	 9.5	 11.0
0.01	 0.9117	 9.5	 11.5
0.01	 1.5093	 10.0	 11.5
0.01	 0.9230	 10.0	 12.0
0.01	 1.4736	 10.5	 12.0
0.01	 0.8932	 10.5	 12.5
0.01	 1.4792	 11.0	 12.5
0.01	 0.8237	 11.0	 13.0
0.01	 1.5248	 11.5	 13.0
0.01	 0.7154	 11.5	 13.5
0.01	 1.6094	 12.0	 13.5
0.01	 0.5698	 12.0	 14.0
0.01	 1.7316	 12.5	 14.0
0.01	 0.3879	 12.5	 14.5
0.01	 1.8903	 13.0	 14.5
0.01	 0.1708	 13.0	 15.0
0.01	 2.0040	 13.5	 15.0
0.01	 0.0804	 14.0	 15.0
0.01	 1.8679	 14.0	 15.5
0.01	 0.3645	 14.5	 15.5
0.01	 1.5293	 14.5	 16.0
0.01	 0.6806	 15.0	 16.0
0.01	 1.1600	 15.0	 16.5
0.01	 1.0276	 15.5	 16.5
0.01	 0.7609	 15.5	 17.0
0.01	 1.4046	 16.0	 17.0
0.01	 0.3332	 16.0	 17.5
0.01	 1.6881	 16.5	 17.5
0.01	 0.1223	 17.0	 17.5
0.01	 1.5173	 17.0	 18.0
0.01	 0.6047	 17.5	 18.0
0.01	 0.9876	 17.5	 18.5
0.01	 1.1130	 18.0	 18.5
0.01	 0.4330	 18.0	 19.0
0.01	 1.5008	 18.5	 19.0
0.01	 1.3111	 19.0	 19.5
0.01	 0.6662	 19.5	 20.0
