Strike	Nominal	Expiry	Mat
0.0044065	 4.8485	 0.5	 1.0
0.0044065	 3.7952	 0.5	 1.5
0.0044065	 0.9829	 1.0	 1.5
0.0044065	 4.7084	 1.0	 2.0
0.0044065	 4.6396	 1.0	 2.5
0.0044065	 1.5340	 1.0	 3.0
0.0044065	 3.0376	 1.5	 3.0
0.0044065	 4.5044	 1.5	 3.5
0.0044065	 2.8270	 1.5	 4.0
0.0044065	 1.6109	 2.0	 4.0
0.0044065	 4.3724	 2.0	 4.5
0.0044065	 3.0692	 2.0	 5.0
0.0044065	 1.2383	 2.5	 5.0
0.0044065	 4.2435	 2.5	 5.5
0.0044065	 2.4127	 2.5	 6.0
0.0044065	 1.7675	 3.0	 6.0
0.0044065	 4.1176	 3.0	 6.5
0.0044065	 0.9915	 3.0	 7.0
0.0044065	 3.0643	 3.5	 7.0
0.0044065	 2.9180	 3.5	 7.5
0.0044065	 1.0766	 4.0	 7.5
0.0044065	 3.9343	 4.0	 8.0
0.0044065	 0.1864	 4.0	 8.5
0.0044065	 3.6882	 4.5	 8.5
0.0044065	 0.8206	 4.5	 9.0
0.0044065	 2.9951	 5.0	 9.0
0.0044065	 0.9102	 5.0	 9.5
0.0044065	 2.8473	 5.5	 9.5
0.0044065	 0.5296	 5.5	 10.0
0.0044065	 2.9145	 6.0	 10.0
0.0044065	 0.2558	 6.5	 10.0
0.0044065	 2.2545	 6.5	 10.5
0.0044065	 1.3886	 7.0	 10.5
0.0044065	 0.7688	 7.0	 11.0
0.0044065	 1.8496	 7.5	 11.0
0.0044065	 0.9685	 8.0	 11.0
0.0044065	 0.6128	 8.0	 11.5
0.0044065	 1.3480	 8.5	 11.5
0.0044065	 1.1451	 9.0	 11.5
0.0044065	 0.4255	 9.5	 11.5
0.0044065	 0.5436	 9.5	 12.0
0.0044065	 0.8166	 10.0	 12.0
0.0044065	 0.6847	 10.5	 12.0
0.0044065	 0.5708	 11.0	 12.0
0.0044065	 0.4726	 11.5	 12.0
