Strike	Nominal	Expiry	Mat
0.0147175	 3.8598	 0.5	 1.0
0.0147175	 4.4119	 1.0	 1.5
0.0147175	 2.8002	 1.0	 2.0
0.0147175	 1.5836	 1.5	 2.0
0.0147175	 4.3561	 1.5	 2.5
0.0147175	 1.3478	 1.5	 3.0
0.0147175	 2.9808	 2.0	 3.0
0.0147175	 3.8309	 2.0	 3.5
0.0147175	 0.4707	 2.5	 3.5
0.0147175	 4.2749	 2.5	 4.0
0.0147175	 1.6181	 2.5	 4.5
0.0147175	 2.6304	 3.0	 4.5
0.0147175	 3.3116	 3.0	 5.0
0.0147175	 0.9108	 3.5	 5.0
0.0147175	 4.1967	 3.5	 5.5
0.0147175	 0.4375	 3.5	 6.0
0.0147175	 3.7339	 4.0	 6.0
0.0147175	 1.4377	 4.0	 6.5
0.0147175	 2.7086	 4.5	 6.5
0.0147175	 2.1116	 4.5	 7.0
0.0147175	 2.0100	 5.0	 7.0
0.0147175	 2.4799	 5.0	 7.5
0.0147175	 1.6174	 5.5	 7.5
0.0147175	 2.5618	 5.5	 8.0
0.0147175	 1.5114	 6.0	 8.0
0.0147175	 2.3757	 6.0	 8.5
0.0147175	 1.6736	 6.5	 8.5
0.0147175	 1.9390	 6.5	 9.0
0.0147175	 2.0870	 7.0	 9.0
0.0147175	 1.2679	 7.0	 9.5
0.0147175	 2.7350	 7.5	 9.5
0.0147175	 0.3777	 7.5	 10.0
0.0147175	 2.8853	 8.0	 10.0
0.0147175	 0.7171	 8.5	 10.0
0.0147175	 1.9547	 8.5	 10.5
0.0147175	 2.0028	 9.0	 10.5
0.0147175	 0.4688	 9.0	 11.0
0.0147175	 2.2837	 9.5	 11.0
0.0147175	 1.1828	 10.0	 11.0
0.0147175	 0.9248	 10.0	 11.5
0.0147175	 1.9425	 10.5	 11.5
0.0147175	 1.0461	 11.0	 11.5
0.0147175	 0.7417	 11.0	 12.0
0.0147175	 1.6429	 11.5	 12.0
