Strike	Nominal	Expiry	Mat
-0.004240000000000001	 1.9125	 0.5	 1.0
-0.004240000000000001	 3.5779	 1.0	 1.5
-0.004240000000000001	 4.9914	 1.5	 2.0
-0.004240000000000001	 0.0183	 1.5	 2.5
-0.004240000000000001	 4.8643	 2.0	 2.5
-0.004240000000000001	 1.3387	 2.0	 3.0
-0.004240000000000001	 3.4370	 2.5	 3.0
-0.004240000000000001	 2.4495	 2.5	 3.5
-0.004240000000000001	 2.2212	 3.0	 3.5
-0.004240000000000001	 3.3628	 3.0	 4.0
-0.004240000000000001	 1.2049	 3.5	 4.0
-0.004240000000000001	 4.0899	 3.5	 4.5
-0.004240000000000001	 0.3764	 4.0	 4.5
-0.004240000000000001	 4.3668	 4.0	 5.0
-0.004240000000000001	 0.2752	 4.0	 5.5
-0.004240000000000001	 3.9939	 4.5	 5.5
-0.004240000000000001	 0.7605	 4.5	 6.0
-0.004240000000000001	 3.4127	 5.0	 6.0
-0.004240000000000001	 1.0895	 5.0	 6.5
-0.004240000000000001	 2.9894	 5.5	 6.5
-0.004240000000000001	 1.2718	 5.5	 7.0
-0.004240000000000001	 2.7146	 6.0	 7.0
-0.004240000000000001	 1.3165	 6.0	 7.5
-0.004240000000000001	 2.5789	 6.5	 7.5
-0.004240000000000001	 1.2325	 6.5	 8.0
-0.004240000000000001	 2.5737	 7.0	 8.0
-0.004240000000000001	 1.0279	 7.0	 8.5
-0.004240000000000001	 2.6906	 7.5	 8.5
-0.004240000000000001	 0.7108	 7.5	 9.0
-0.004240000000000001	 2.9216	 8.0	 9.0
-0.004240000000000001	 0.2887	 8.0	 9.5
-0.004240000000000001	 3.0280	 8.5	 9.5
-0.004240000000000001	 0.2311	 9.0	 9.5
-0.004240000000000001	 2.6230	 9.0	 10.0
-0.004240000000000001	 0.8418	 9.5	 10.0
-0.004240000000000001	 1.8465	 9.5	 10.5
-0.004240000000000001	 1.5369	 10.0	 10.5
-0.004240000000000001	 0.9933	 10.0	 11.0
-0.004240000000000001	 2.3101	 10.5	 11.0
-0.004240000000000001	 0.0694	 10.5	 11.5
-0.004240000000000001	 2.2358	 11.0	 11.5
-0.004240000000000001	 1.1792	 11.5	 12.0
