Strike	Nominal	Expiry	Mat
0.00316	 1.9030	 0.5	 1.0
0.00316	 3.5390	 1.0	 1.5
0.00316	 4.9212	 1.5	 2.0
0.00316	 5.4457	 2.0	 2.5
0.00316	 0.6164	 2.0	 3.0
0.00316	 4.7428	 2.5	 3.0
0.00316	 1.6144	 2.5	 3.5
0.00316	 3.6593	 3.0	 3.5
0.00316	 2.3935	 3.0	 4.0
0.00316	 2.7957	 3.5	 4.0
0.00316	 2.9649	 3.5	 4.5
0.00316	 2.1410	 4.0	 4.5
0.00316	 3.3392	 4.0	 5.0
0.00316	 1.6844	 4.5	 5.0
0.00316	 3.5267	 4.5	 5.5
0.00316	 1.4156	 5.0	 5.5
0.00316	 3.5372	 5.0	 6.0
0.00316	 1.3249	 5.5	 6.0
0.00316	 3.3803	 5.5	 6.5
0.00316	 1.4026	 6.0	 6.5
0.00316	 3.0649	 6.0	 7.0
0.00316	 1.6398	 6.5	 7.0
0.00316	 2.5998	 6.5	 7.5
0.00316	 2.0276	 7.0	 7.5
0.00316	 1.9935	 7.0	 8.0
0.00316	 2.5578	 7.5	 8.0
0.00316	 1.2538	 7.5	 8.5
0.00316	 3.2221	 8.0	 8.5
0.00316	 0.3886	 8.0	 9.0
0.00316	 3.4183	 8.5	 9.0
0.00316	 2.6391	 9.0	 9.5
0.00316	 1.3680	 9.5	 10.0
