Strike	Nominal	Expiry	Mat
-0.000465	 5.0523	 0.5	 1.0
-0.000465	 3.5707	 0.5	 1.5
-0.000465	 1.3881	 1.0	 1.5
-0.000465	 4.8667	 1.0	 2.0
-0.000465	 4.7760	 1.0	 2.5
-0.000465	 0.9837	 1.0	 3.0
-0.000465	 3.7030	 1.5	 3.0
-0.000465	 4.5987	 1.5	 3.5
-0.000465	 2.1708	 1.5	 4.0
-0.000465	 2.3411	 2.0	 4.0
-0.000465	 4.4265	 2.0	 4.5
-0.000465	 2.3512	 2.0	 5.0
-0.000465	 1.9912	 2.5	 5.0
-0.000465	 4.2595	 2.5	 5.5
-0.000465	 1.6807	 2.5	 6.0
-0.000465	 2.4971	 3.0	 6.0
-0.000465	 4.0974	 3.0	 6.5
-0.000465	 0.2957	 3.0	 7.0
-0.000465	 3.7225	 3.5	 7.0
-0.000465	 2.2558	 3.5	 7.5
-0.000465	 1.6844	 4.0	 7.5
-0.000465	 3.4953	 4.0	 8.0
-0.000465	 0.3680	 4.5	 8.0
-0.000465	 3.7877	 4.5	 8.5
-0.000465	 0.3256	 4.5	 9.0
-0.000465	 3.3875	 5.0	 9.0
-0.000465	 0.4833	 5.0	 9.5
-0.000465	 3.1564	 5.5	 9.5
-0.000465	 0.1813	 5.5	 10.0
-0.000465	 2.8725	 6.0	 10.0
-0.000465	 0.5136	 6.5	 10.0
-0.000465	 1.9535	 6.5	 10.5
-0.000465	 1.5428	 7.0	 10.5
-0.000465	 0.5713	 7.0	 11.0
-0.000465	 1.8070	 7.5	 11.0
-0.000465	 1.0479	 8.0	 11.0
-0.000465	 0.4924	 8.0	 11.5
-0.000465	 1.3088	 8.5	 11.5
-0.000465	 1.1083	 9.0	 11.5
-0.000465	 0.4476	 9.5	 11.5
-0.000465	 0.4872	 9.5	 12.0
-0.000465	 0.7850	 10.0	 12.0
-0.000465	 0.6558	 10.5	 12.0
-0.000465	 0.5446	 11.0	 12.0
-0.000465	 0.4491	 11.5	 12.0
