Strike	Nominal	Expiry	Mat
0.004451	 4.8467	 0.5	 1.0
0.004451	 3.7972	 0.5	 1.5
0.004451	 0.9792	 1.0	 1.5
0.004451	 4.7070	 1.0	 2.0
0.004451	 4.6384	 1.0	 2.5
0.004451	 1.5390	 1.0	 3.0
0.004451	 3.0316	 1.5	 3.0
0.004451	 4.5035	 1.5	 3.5
0.004451	 2.8330	 1.5	 4.0
0.004451	 1.6043	 2.0	 4.0
0.004451	 4.3719	 2.0	 4.5
0.004451	 3.0757	 2.0	 5.0
0.004451	 1.2315	 2.5	 5.0
0.004451	 4.2433	 2.5	 5.5
0.004451	 2.4194	 2.5	 6.0
0.004451	 1.7608	 3.0	 6.0
0.004451	 4.1177	 3.0	 6.5
0.004451	 0.9979	 3.0	 7.0
0.004451	 3.0582	 3.5	 7.0
0.004451	 2.9241	 3.5	 7.5
0.004451	 1.0710	 4.0	 7.5
0.004451	 3.9349	 4.0	 8.0
0.004451	 0.1916	 4.0	 8.5
0.004451	 3.6839	 4.5	 8.5
0.004451	 0.8252	 4.5	 9.0
0.004451	 2.9914	 5.0	 9.0
0.004451	 0.9142	 5.0	 9.5
0.004451	 2.8444	 5.5	 9.5
0.004451	 0.5329	 5.5	 10.0
0.004451	 2.9149	 6.0	 10.0
0.004451	 0.2534	 6.5	 10.0
0.004451	 2.2573	 6.5	 10.5
0.004451	 1.3871	 7.0	 10.5
0.004451	 0.7707	 7.0	 11.0
0.004451	 1.8500	 7.5	 11.0
0.004451	 0.9678	 8.0	 11.0
0.004451	 0.6140	 8.0	 11.5
0.004451	 1.3483	 8.5	 11.5
0.004451	 1.1455	 9.0	 11.5
0.004451	 0.4253	 9.5	 11.5
0.004451	 0.5441	 9.5	 12.0
0.004451	 0.8169	 10.0	 12.0
0.004451	 0.6850	 10.5	 12.0
0.004451	 0.5710	 11.0	 12.0
0.004451	 0.4729	 11.5	 12.0
