Strike	Nominal	Expiry	Mat
-0.00459	 0.9478	 0.5	 1.0
-0.00459	 1.7647	 1.0	 1.5
-0.00459	 2.4568	 1.5	 2.0
-0.00459	 3.0298	 2.0	 2.5
-0.00459	 3.4893	 2.5	 3.0
-0.00459	 3.8406	 3.0	 3.5
-0.00459	 4.0889	 3.5	 4.0
-0.00459	 4.2392	 4.0	 4.5
-0.00459	 4.2964	 4.5	 5.0
-0.00459	 4.2651	 5.0	 5.5
-0.00459	 4.1498	 5.5	 6.0
-0.00459	 3.9548	 6.0	 6.5
-0.00459	 3.6844	 6.5	 7.0
-0.00459	 3.3426	 7.0	 7.5
-0.00459	 2.9333	 7.5	 8.0
-0.00459	 2.4601	 8.0	 8.5
-0.00459	 1.9268	 8.5	 9.0
-0.00459	 1.3368	 9.0	 9.5
-0.00459	 0.6934	 9.5	 10.0
