Strike	Nominal	Expiry	Mat
0.001955	 0.9593	 0.5	 1.0
0.001955	 1.8093	 1.0	 1.5
0.001955	 2.5543	 1.5	 2.0
0.001955	 3.1980	 2.0	 2.5
0.001955	 3.7444	 2.5	 3.0
0.001955	 4.1972	 3.0	 3.5
0.001955	 4.4755	 3.5	 4.0
0.001955	 0.0844	 3.5	 4.5
0.001955	 4.3156	 4.0	 4.5
0.001955	 0.4362	 4.0	 5.0
0.001955	 3.8894	 4.5	 5.0
0.001955	 0.7038	 4.5	 5.5
0.001955	 3.5482	 5.0	 5.5
0.001955	 0.8907	 5.0	 6.0
0.001955	 3.2888	 5.5	 6.0
0.001955	 1.0000	 5.5	 6.5
0.001955	 3.1079	 6.0	 6.5
0.001955	 1.0350	 6.0	 7.0
0.001955	 3.0024	 6.5	 7.0
0.001955	 0.9987	 6.5	 7.5
0.001955	 2.9691	 7.0	 7.5
0.001955	 0.8939	 7.0	 8.0
0.001955	 3.0051	 7.5	 8.0
0.001955	 0.7237	 7.5	 8.5
0.001955	 3.1075	 8.0	 8.5
0.001955	 0.4908	 8.0	 9.0
0.001955	 3.2735	 8.5	 9.0
0.001955	 0.1979	 8.5	 9.5
0.001955	 3.3481	 9.0	 9.5
0.001955	 3.0758	 9.5	 10.0
0.001955	 2.5542	 10.0	 10.5
0.001955	 1.9835	 10.5	 11.0
0.001955	 1.3661	 11.0	 11.5
0.001955	 0.7042	 11.5	 12.0
