Strike	Nominal	Expiry	Mat
0.0044065	 0.9604	 0.5	 1.0
0.0044065	 1.8137	 1.0	 1.5
0.0044065	 2.5634	 1.5	 2.0
0.0044065	 3.2133	 2.0	 2.5
0.0044065	 3.7668	 2.5	 3.0
0.0044065	 4.2274	 3.0	 3.5
0.0044065	 4.4380	 3.5	 4.0
0.0044065	 0.1602	 3.5	 4.5
0.0044065	 4.2121	 4.0	 4.5
0.0044065	 0.5103	 4.0	 5.0
0.0044065	 3.7972	 4.5	 5.0
0.0044065	 0.7762	 4.5	 5.5
0.0044065	 3.4672	 5.0	 5.5
0.0044065	 0.9612	 5.0	 6.0
0.0044065	 3.2189	 5.5	 6.0
0.0044065	 1.0681	 5.5	 6.5
0.0044065	 3.0495	 6.0	 6.5
0.0044065	 1.0999	 6.0	 7.0
0.0044065	 2.9558	 6.5	 7.0
0.0044065	 1.0594	 6.5	 7.5
0.0044065	 2.9353	 7.0	 7.5
0.0044065	 0.9493	 7.0	 8.0
0.0044065	 2.9849	 7.5	 8.0
0.0044065	 0.7724	 7.5	 8.5
0.0044065	 3.1022	 8.0	 8.5
0.0044065	 0.5312	 8.0	 9.0
0.0044065	 3.2845	 8.5	 9.0
0.0044065	 0.2283	 8.5	 9.5
0.0044065	 3.3953	 9.0	 9.5
0.0044065	 3.1469	 9.5	 10.0
0.0044065	 2.6164	 10.0	 10.5
0.0044065	 2.0343	 10.5	 11.0
0.0044065	 1.4028	 11.0	 11.5
0.0044065	 0.7240	 11.5	 12.0
