Strike	Nominal	Expiry	Mat
-0.000465	 0.9581	 0.5	 1.0
-0.000465	 1.8050	 1.0	 1.5
-0.000465	 2.5451	 1.5	 2.0
-0.000465	 3.1827	 2.0	 2.5
-0.000465	 3.7220	 2.5	 3.0
-0.000465	 4.1670	 3.0	 3.5
-0.000465	 4.5119	 3.5	 4.0
-0.000465	 0.0097	 3.5	 4.5
-0.000465	 4.4168	 4.0	 4.5
-0.000465	 0.3633	 4.0	 5.0
-0.000465	 3.9791	 4.5	 5.0
-0.000465	 0.6328	 4.5	 5.5
-0.000465	 3.6267	 5.0	 5.5
-0.000465	 0.8217	 5.0	 6.0
-0.000465	 3.3561	 5.5	 6.0
-0.000465	 0.9336	 5.5	 6.5
-0.000465	 3.1638	 6.0	 6.5
-0.000465	 0.9718	 6.0	 7.0
-0.000465	 3.0464	 6.5	 7.0
-0.000465	 0.9396	 6.5	 7.5
-0.000465	 3.0006	 7.0	 7.5
-0.000465	 0.8402	 7.0	 8.0
-0.000465	 3.0232	 7.5	 8.0
-0.000465	 0.6766	 7.5	 8.5
-0.000465	 3.1111	 8.0	 8.5
-0.000465	 0.4518	 8.0	 9.0
-0.000465	 3.2613	 8.5	 9.0
-0.000465	 0.1688	 8.5	 9.5
-0.000465	 3.3011	 9.0	 9.5
-0.000465	 3.0062	 9.5	 10.0
-0.000465	 2.4933	 10.0	 10.5
-0.000465	 1.9339	 10.5	 11.0
-0.000465	 1.3303	 11.0	 11.5
-0.000465	 0.6849	 11.5	 12.0
